node,stability_so_far
adequacy,0.335
categorizes,0.335
hse,0.335
ireland,0.335
homologous,0.435
lutenize,0.435
generalizable,0.335
andr.12770,0.55
doi:10.1111,0.55
eaa,0.55
jc.2018,0.55
diem,0.265
doi:10.3949,0.265
ccjm.91a.23064,0.265
doi:10.1056,0.265
nejmoa2215025,0.265
shumaker,0.265
exclusively,0.32
formally,0.32
excipient,0.335
permeator,0.335
anosmia,0.435
blindness,0.435
masturbation,0.24
receipt,0.25
al.4,0.345
millar,0.345
speculation,0.25
feldman,0.36
mid-,0.365
late-30s,0.365
nad,0.365
slang,0.355
finer,0.445
shorten,0.445
"+1,150%)—likely",0.25
terms—“secret,0.25
nexus,0.25
webinar,0.43
youtube,0.43
gso,0.335
shallower,0.335
kudo,0.43
pat,0.43
briefly,0.39
capability,0.39
corticotropin,0.37
testosterone.9,0.37
plug,0.43
suspend,0.335
coefficient,0.35
plague,0.35
precision.10,0.35
bathe,0.335
fortesta,0.335
soak,0.335
vogelxo,0.335
revitalize,0.205
unverified,0.245
speculative,0.25
jatenzo,0.335
tlando,0.335
lymph,0.335
graft,0.335
grafting,0.335
bless,0.43
overwhelmed,0.43
fda‐registered,0.195
lengthen,0.335
induration,0.355
palpable,0.355
stitch,0.335
bent,0.335
plication,0.335
evenly,0.365
uptick,0.36
harmonization,0.36
pathologist,0.36
appalachia,0.365
sera,0.36
chromatography,0.335
spectrometry,0.335
oklahoma,0.365
idaho,0.365
arkansa,0.365
wyoming,0.365
deformity,0.305
hourglass,0.305
curve,0.305
collagen,0.305
fasting,0.345
forecast,0.32
arizona,0.325
tennessee,0.325
degeneration,0.42
hasten,0.42
constrictive,0.335
cumbersome,0.335
altered,0.405
neglect,0.405
stature,0.405
accomplishment,0.37
election,0.31
presidential,0.31
contradict,0.335
pool,0.335
d.c,0.31
island,0.31
distinction,0.43
similarity,0.43
rhode,0.31
delaware,0.31
backseat,0.425
jog,0.43
empire,0.43
war,0.43
toyota,0.43
camry,0.43
intertwine,0.28
leaning,0.28
talent,0.43
jointed,0.43
reignite,0.28
customizable,0.275
application.228,0.335
enhancer,0.335
solubility,0.335
capogrosso,0.41
prof,0.41
sponsoring,0.55
yialamas,0.55
occlusive,0.335
washing,0.335
fold.415,0.335
men,0.305
survivorship,0.295
therapies.417,0.335
dysmorphophobia,0.29
hypoactive,0.225
cervix,0.395
sti,0.395
transgender,0.395
phimosis,0.395
culturally,0.415
resonate,0.415
stimulant,0.395
t.h,0.41
otc,0.395
hours.424,0.415
minutes.425,0.39
ethnicity,0.345
household,0.345
income,0.345
rural,0.27
suburban,0.275
mirroring,0.365
predefine,0.42
symptomology,0.43
aneurysm,0.45
aortic,0.45
smack,0.43
yearlong,0.43
dab,0.43
desai,0.395
sethi,0.395
uhealth,0.395
bioequivalence,0.325
values.428,0.325
brca,0.385
con’t,0.395
recording,0.43
noteworthy,0.34
rhythm.181,0.34
beef,0.705
poultry,0.705
skinless,0.705
berry,0.705
carrot,0.705
broccoli,0.705
maria,0.55
navy,0.705
lentil,0.705
behavioural,0.315
cbt,0.315
hpv,0.39
monkeypox,0.39
chickpeas,0.705
hays,0.385
taylor,0.385
oat,0.705
pneumococcal,0.39
shingle,0.39
minn,0.385
wheat,0.705
influenza,0.39
tetanus,0.39
glucagon,0.435
peptide-1,0.435
cereal,0.705
phytoestrogen,0.705
wine,0.705
robyn,0.165
zercher,0.165
fnp,0.165
pasta,0.705
snack,0.705
prep,0.265
prohylaxis,0.265
baton,0.385
ext,0.385
rouge,0.385
slidell,0.385
covington,0.385
tammany,0.385
parish,0.385
northshore,0.385
kenner,0.385
shiny,0.425
wipe,0.425
alvin,0.55
baptist,0.385
hwy,0.385
jefferson,0.385
(aspen,0.335
phenylpropionate,0.335
isocaproate,0.335
(bayer,0.335
brother,0.43
tall,0.43
avanafil,0.34
stendra,0.34
preexposure,0.265
professionally,0.245
unlimited,0.245
https://www.hormone.org/diseases-and-conditions/low-testosteronetestosterone-associate,0.405
https://www.hormone.org/your-health-and-hormones/glands-and-hormones-a-to-z/hormones/testosteronelow,0.41
patients.181,0.335
vesicle,0.335
pain.431,0.335
https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6266690/,0.375
adhesive,0.335
muco,0.335
incisor,0.335
daily.432,0.335
integrate,0.38
specialties,0.38
gulf,0.39
nonprofit,0.39
alan,0.395
edith,0.395
wolff,0.395
chlamydia,0.395
gonorrhea,0.395
syphilis,0.395
hike,0.43
park,0.43
hop,0.43
italy,0.43
purgatorio,0.43
purgatory,0.43
restaurant,0.43
1gm,0.335
4ml,0.335
florence,0.43
dysmorphia/”bigorexia,0.395
hydration,0.335
levels.433,0.335
dysmorphic,0.395
felson,0.165
sabrina,0.165
audience,0.43
caverject,0.335
edex,0.335
phentolamine,0.335
oraverse,0.335
authentic,0.43
neapolitan,0.43
pizza,0.43
canine,0.335
hydrate,0.335
diving,0.43
underwater,0.43
photography,0.43
piggyback,0.43
semi,0.43
apart.432,0.335
downhill,0.43
hodis,0.55
ski,0.43
racing,0.43
palpitation,0.41
running,0.41
restlessness,0.41
nasopharyngitis,0.335
rhinorrhea,0.335
epistaxis,0.335
men.436,0.335
browser,0.435
html5,0.435
app,0.435
bolt,0.325
newly,0.32
hyperestrogenism,0.425
partially,0.42
nada,0.43
zip,0.43
telling,0.43
qualitatively,0.405
quantitatively,0.41
realistically,0.43
vague,0.43
concert,0.42
masse,0.415
fluoride,0.685
laryngologist,0.665
storm,0.415
subside,0.41
mini,0.4
fly,0.415
sheep,0.41
biomedical,0.41
states).440,0.34
undenaconate,0.365
discrimination,0.43
dnv,0.43
webmaster,0.35
pediatrician,0.26
shrug,0.26
individualization,0.325
loading,0.325
goserelin,0.435
triptorelin,0.435
biosynthesis,0.435
leuprolide,0.435
metoclopramide,0.435
psychoactive,0.435
lake,0.305
strengthening,0.705
unprocessed,0.705
benzyl,0.345
microemboli,0.345
benzoate,0.345
component.438,0.345
boxed,0.345
mitigation,0.355
scheduling,0.22
multisystem,0.435
prad,0.435
cough,0.325
duration.443,0.325
conservatively,0.325
hayes,0.55
https://thescoperadio.com,0.43
https://www.facebook.com/whocaresmenshealth,0.43
https://whocaresmenshealth.com,0.43
patches.182,0.335
reformulate,0.335
crystalline,0.335
hypoplasia,0.435
underdevelopment,0.435
evan,0.4
hadley,0.4
atlanta,0.41
profilesexplore,0.415
gupta,0.555
hackett,0.555
https://www.ncbi.nlm.nih.gov/books/nbk549843/,0.555
hearnshaw,0.21
pp.238,0.21
ltd,0.555
channel,0.335
ecchymose,0.335
headline,0.555
s.l,0.555
huo,0.23
scialli,0.23
a.r,0.23
mcgarvey,0.23
hill,0.23
tügertimur,0.23
hogenmiller,0.23
hirsch,0.23
a.i,0.23
fugh,0.23
berman,0.23
pp.42,0.555
gurney,0.555
enantate,0.335
inflate,0.335
rod,0.335
semirigid,0.335
glenn,0.55
virormone,0.335
(nordic,0.335
bendable,0.335
plos,0.23
p.e0162480,0.22
superficial,0.335
skin.449,0.335
merit,0.43
recheck,0.43
guasti,0.555
parede,0.555
juan,0.55
aquino,0.555
fernández,0.555
pp.557,0.555
ventura,0.555
verboon,0.555
dewitte,0.555
jacobs,0.555
thewissen,0.555
coagulant,0.385
hematoma,0.375
lankveld,0.555
shalender,0.55
https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1476110/,0.555
polycthemia,0.38
neuroimage,0.555
rajfer,0.555
pp.855,0.555
magnetic,0.555
moserthroughout,0.215
sara,0.215
resonance,0.555
p=0.03).220,0.35
burnod,0.555
issac,0.555
paradi,0.555
bittoun,0.555
fare,0.21
glutron,0.555
pélégrini,0.555
moura,0.555
stoléru,0.555
"(ferring),gel",0.335
mg/5,0.335
jcem,0.55
discrete,0.29
packaging,0.29
https://www.ncbi.nlm.nih.gov/books/nbk513278/,0.555
butterfly,0.435
gabrielson,0.435
"events,363",0.335
"risk,233",0.335
risk.373,0.335
"analysis,372",0.335
testogel,0.335
"(besin),gel",0.335
durland,0.475
zito,0.48
panchatsharam,0.465
pp.349,0.465
eric,0.42
laborde,0.42
conferencing,0.43
overstate,0.43
irreversible,0.36
underutilise,0.34
abhinav,0.275
prevail,0.27
vol,0.465
handbook,0.31
tostran,0.335
"(prostrakan),gel",0.335
circulating,0.34
hospitalization,0.35
fruzzetti,0.34
p.100426,0.35
hazlett,0.35
kadono,0.555
mizokami,0.555
namiki,0.555
prod,0.435
trh,0.435
nohara,0.555
izumi,0.555
hospitalize,0.385
remained,0.385
iijima,0.555
kawaguchi,0.555
shigehara,0.555
barne,0.265
jewish,0.265
kato,0.555
https://www.ncbi.nlm.nih.gov/books/nbk534827/,0.555
er.2017,0.55
lesson,0.55
https://www.urologyhealth.org/urologic-conditions/low-testosterone,0.55
caban,0.555
factory,0.445
worker,0.445
p.98,0.555
dhindsa,0.405
sicker,0.405
autonomy,0.335
prescriber,0.355
breehl,0.555
pathophysiology,0.555
population‐base,0.495
pp.317,0.55
chung,0.55
multidose,0.335
dispenser,0.335
dennerstein,0.4
maggi,0.4
maturita,0.4
pp.46,0.4
haye,0.4
doi:10.1016,0.455
j.urology.2016.12.066,0.455
synder,0.455
calculated,0.335
p=0.02,0.335
erratum,0.335
fertile,0.31
withdrawal,0.335
rastrelli,0.4
dataset,0.335
gilbert,0.545
scrotal,0.335
askmayoexpert,0.545
extraneous,0.32
wax,0.315
hashimoto,0.435
thyroiditis,0.435
finkle,0.335
truven,0.335
"n=55,593",0.335
albeit,0.35
prn,0.355
summarise,0.36
flagging,0.35
convincing,0.43
huh,0.43
disappointed,0.33
unwaveringly,0.335
inordinate,0.295
unconscious,0.33
abbreviate,0.335
striking,0.335
religion,0.305
stereotype,0.305
affirm,0.43
girlfriend,0.43
massively,0.305
endothelial,0.335
chafing,0.43
marathon,0.43
aroused,0.3
habituation,0.295
stabilizer,0.335
cardioprotectant,0.335
mate,0.28
insignificant.366,0.335
"n=1,773",0.335
"n=1,261",0.335
biorepository,0.405
ict,0.405
or=1.54,0.335
copulate,0.41
novo,0.42
renewal,0.41
tremor,0.41
warm,0.41
stratification,0.34
n=13,0.34
animal,0.41
or=0.89,0.335
.in,0.42
homogenous,0.335
or=2.06,0.335
favor,0.335
unpublished,0.335
edwards,0.39
hudson,0.39
garbage,0.43
hardly,0.43
"muraleedharan,233",0.335
shore,0.335
baillargeon373,0.335
"deaths/1,000",0.35
p<0.0001,0.345
muraleedharan,0.335
stratify,0.335
n=581,0.335
intricacy,0.345
supraspinal,0.34
n=343,0.335
n=238,0.33
hr=2.02,0.37
p<0.01,0.37
compounded,0.335
tds,0.335
somatosensory,0.34
unbelievably,0.34
baillargeon,0.335
concede,0.335
hr=0.84,0.335
medicare,0.335
beneficiary,0.335
descent,0.45
vocal,0.45
confounder,0.36
naïve,0.36
concurrent,0.36
creamy,0.335
refrigerate,0.335
nighter,0.43
understate,0.43
friday,0.43
bayer,0.39
marius,0.39
https://www.ncbi.nlm.nih.gov/pubmed/25384570,0.56
invest,0.56
hypoallergenic,0.335
moisture,0.335
italian,0.56
proposal,0.335
provisional,0.335
scentless,0.335
empt,0.34
absorbent,0.33
moisturize,0.33
disperse,0.335
emulsion,0.335
aorta,0.385
atherosclerotic,0.385
variant,0.375
https://www.ncbi.nlm.nih.gov/pubmed/25523084,0.555
https://www.ncbi.nlm.nih.gov/pubmed/31496147,0.555
pharmacotherapy,0.555
mens,0.555
bandage,0.335
gauze,0.335
finish,0.335
2838ur,0.355
https://www.ncbi.nlm.nih.gov/pubmed/23482592,0.555
2021;15(5):e234,0.34
http://dx.doi.org/10.5489/cuaj.7252,0.34
dislike,0.335
peel,0.335
assoc,0.34
https://www.ncbi.nlm.nih.gov/pubmed/15638872,0.53
oxf,0.53
revert,0.535
leaf,0.39
proctor,0.39
locations13,0.4
locationswe,0.4
sawgrass,0.4
https://www.ncbi.nlm.nih.gov/pubmed/18270261,0.55
nonbound,0.55
b.a,0.55
mohr,0.55
differentially,0.33
https://www.ncbi.nlm.nih.gov/pubmed/30862651,0.425
registry,0.425
urotronic,0.39
nobel,0.28
synthesize,0.21
bettoocchi,0.36
pp.3,0.355
yassin,0.355
carvalho,0.36
eau;2025,0.355
enhancement,0.34
reluctance,0.35
scheme,0.36
condition.3,0.385
brockport,0.4
canandaigua,0.4
clara,0.4
barton,0.4
finger,0.335
spoon,0.335
noyes,0.4
cmaj.5,0.375
perpetual,0.395
dansville,0.4
east,0.4
geneseo,0.4
comorbidity,0.385
mmas,0.355
bioactivity,0.435
blockade,0.435
pointe,0.4
chris,0.4
inch,0.42
disinfect,0.335
elbow,0.335
mid-30s,0.37
virulence,0.335
biochemistry,0.315
interprovincial,0.34
seneca,0.4
wellsville,0.4
hornell,0.4
aurora,0.41
finite,0.41
lattimore,0.4
anschutz,0.41
colorado,0.41
g-100,0.4
emeritus,0.405
magazine,0.43
schwarzenegger,0.43
highland,0.4
equate,0.35
pop,0.34
foreign,0.435
particle,0.435
ethan,0.39
filter,0.345
ambulatory,0.4
launch,0.335
accumulate,0.445
vlcfa,0.445
md2,0.39
mohit,0.39
md3,0.39
md1,0.39
md4,0.39
jay,0.39
yonah,0.39
elmwood,0.4
md5,0.39
flawed,0.325
methodologically,0.33
grantmyre,0.39
md6,0.39
premal,0.39
profoundly,0.275
trivialise,0.27
phlebotomist,0.335
md7,0.39
richard,0.39
bebb,0.39
md8,0.39
fitzpatrick,0.39
md9,0.39
jeffrey,0.39
campbell,0.39
serge,0.39
abraham,0.39
md10,0.39
astella,0.39
msacl.org,0.39
md11,0.39
md12,0.39
sciex,0.39
dictionary,0.395
oxford,0.395
dian,0.39
synergistically,0.395
180pmol,0.36
issm,0.35
evidence).10,0.335
framework,0.335
working,0.335
content.5,0.355
summative,0.36
silva,0.55
specialised,0.55
n.l,0.55
papanikolaou,0.55
metuchen,0.39
grossmann,0.55
antonio,0.55
aplastic,0.435
myelodysplastic,0.435
quinton,0.55
b.d,0.55
pathogenesis,0.55
clarus,0.39
modulate,0.41
neurochemical,0.41
visuospatial,0.41
lancet,0.55
underscore,0.345
undiagnose,0.35
tasked,0.35
update.11,0.35
pp.761,0.55
spaziani,0.55
carlomagno,0.55
tarantino,0.55
angelini,0.55
vincenzi,0.55
gianfrilli,0.55
collate,0.36
submission,0.36
theme,0.36
propose,0.36
finalize,0.355
karkowsky,0.39
labs,0.39
felix,0.39
bovine,0.265
equine,0.245
mouse,0.28
rabbit,0.28
anderson,0.55
p.1184530,0.55
r.a,0.55
llahana,0.55
barth,0.55
j.h,0.55
mackenzie,0.55
wilke,0.55
sooriakumaran,0.55
investor,0.39
mhb,0.39
tomlinson,0.55
gonadatrophin,0.4
substandard,0.305
barber,0.545
pp.200,0.545
t.m,0.545
kyrou,0.545
kaltsas,0.545
insist,0.42
tab,0.43
randeva,0.545
grossman,0.545
a.b,0.545
h.s,0.545
weickert,0.545
m.o,0.545
nebraska,0.415
physic,0.41
lincoln,0.415
crystallography,0.3
inspect,0.3
unbelievable,0.3
p.8217,0.545
pairing,0.3
crystal,0.3
beiza,0.33
kristen,0.33
achievable,0.25
energize,0.285
awful,0.43
ride,0.43
crude,0.345
years.13,0.345
unrealistic,0.255
bombard,0.3
diffract,0.3
cypre,0.405
kathi,0.405
indian,0.545
shivakumar,0.545
nagaraju,0.545
microscope,0.3
defied,0.3
pp.180,0.545
affinity,0.34
bordal,0.425
popularly,0.415
pp.1151,0.545
saalu,0.545
l.c,0.545
osinubi,0.545
a.a,0.545
fable,0.545
lagos,0.545
@anaveciana,0.31
twitter,0.31
competition,0.35
anavecianasuarez.com,0.31
palm,0.31
herald,0.31
production.17,0.445
testable,0.445
elegant,0.215
intricate,0.215
renowned,0.31
suarez,0.31
ana,0.31
veciana,0.31
bullough,0.42
byron,0.42
misinformation,0.205
vegetarian,0.2
/memory,0.41
cognitive/,0.41
physical/,0.41
eager,0.375
kill,0.37
gasoline,0.24
pour,0.235
bug,0.32
smartwatch,0.32
reminder,0.32
presbyterian,0.37
shadyside,0.37
e236,0.425
tosterone,0.425
axillary,0.425
breakthrough,0.36
groundbreake,0.36
carswell,0.42
hormonal/,0.435
intrinsic,0.435
karolina,0.405
majorek,0.405
katarzyna,0.405
handing,0.405
przemyslaw,0.405
porebski,0.405
sandya,0.405
beeram,0.405
kyungah,0.405
suh,0.405
ashley,0.405
mindy,0.42
insurer,0.4
renowne,0.4
maryland,0.395
headquarter,0.4
woolfork,0.405
davisfor,0.295
josh,0.295
reputation,0.295
ivan,0.405
changer,0.26
refute,0.295
discontinuing,0.35
months).5,0.355
diminution,0.445
"pulsatility.18,19",0.445
shabalin,0.405
bettie,0.42
lauren,0.42
coralville,0.37
i-80,0.37
forth,0.42
northwest,0.145
pacific,0.145
premier,0.145
destination,0.145
meno,0.425
dribble,0.455
emptying,0.455
trim,0.41
waistline,0.41
bam,0.43
football,0.43
wham,0.43
retrospectively,0.43
ocean,0.425
punching,0.425
hocking,0.425
bedtime,0.29
sedative,0.29
gm117325,0.405
r01,0.405
gm117080,0.405
gm118619,0.405
outnumber,0.415
vastly,0.41
iatrogenic,0.435
kallman,0.435
hhsn272201200026c,0.405
nos,0.405
hhsn272201700060c,0.405
gasp,0.38
snort,0.38
louder,0.38
saliva,0.275
spit,0.275
aud,0.435
females,0.435
shady,0.435
tactic,0.435
catheterization,0.29
unblock,0.285
playlist,0.43
song,0.43
duca,0.555
https://my.clevelandclinic.org/health/diagnostics/24215-testosterone-test,0.555
condorelli,0.555
calogero,0.555
vignera,0.555
hardness,0.295
inventory,0.295
"score.13,20",0.295
intimidate,0.36
movement,0.29
brisk,0.385
jcm8050732,0.555
fade,0.285
roller,0.29
coaster,0.29
standardized,0.34
"td.6,9,25",0.34
academic/,0.34
bath,0.34
breathwork,0.34
mindfulness,0.34
treadmill,0.39
abdoman,0.335
timer,0.335
basson,0.55
wierman,0.55
reappraisal,0.55
arlt,0.55
pubmed.ncbi.nlm.nih.gov/25279570/.,0.55
pmc6571549,0.555
https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6571549/,0.555
ferrucci,0.555
maggio,0.555
bandinelli,0.555
lauretani,0.555
acclimate,0.43
transient,0.43
chemaitilly,0.55
garibaldi,0.55
pubmed.ncbi.nlm.nih.gov/29562364/.,0.55
https://www.cdc.gov/labstandards/hs_standardization.html,0.34
spectrometry.26,0.335
ble,0.555
valenti,0.555
ershler,0.555
homa,0.395
warren,0.395
calibration,0.34
testosterone.27,0.34
guralnik,0.555
longo,0.555
j.beem.2010.11.004,0.555
pmc3073592,0.555
auxiliary,0.365
system(s,0.365
illustrative,0.355
apr23.doi,0.555
jun,0.555
pmc4168024,0.555
nihmsid,0.555
nihms627664,0.555
prasanth,0.555
surampudi,0.555
"md,1",0.555
dependant,0.295
"td.5,6",0.35
donohoue,0.55
hypofunction,0.55
1.publishe,0.555
bolus,0.345
shoot,0.345
impactful,0.34
structural/,0.34
lambert,0.55
swj,0.55
milman,0.55
bartke,0.55
men5,0.335
relie,0.335
aleksic,0.55
maximizing,0.285
tmt,0.285
pract,0.555
"md,2",0.555
andre,0.555
wittert,0.555
araujo,0.555
pmc4650468,0.555
gladly,0.275
toll,0.28
asap,0.28
havoc,0.28
wreak,0.28
potentwavetm,0.37
shottm,0.37
arch,0.555
intern,0.555
archinte.166.13.1380,0.555
crisp,0.705
instant,0.705
pmc2645631,0.555
682x.143317,0.555
potentshottm,0.37
wavetm,0.37
pshot,0.37
reuptake,0.41
ssris,0.41
ejaculatory,0.41
lacking,0.41
https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2645631/,0.555
androl,0.555
spearhead,0.41
wood,0.41
compliment,0.425
e238,0.435
"conditions.5,7",0.425
coward,0.555
collateral,0.435
scarring,0.435
addiction,0.435
buff,0.35
steep,0.35
carson,0.555
feb;9(2):249,0.55
laksham,0.55
ronde,0.545
culley,0.555
versa,0.26
vice,0.26
https://medlineplus.gov/ency/patientinstructions/000722.htm,0.39
https://www.upmc.com/health-library/article?hwid=abo6506&locale=en-us,0.39
jame,0.555
mcbride,0.555
blemish,0.345
dull,0.345
wrinkle,0.345
months.77,0.405
upwards,0.405
burlington,0.515
https://www.endocrine.org/patient-engagement/endocrine-library/hormones-and-endocrine-function/reproductive-hormones,0.515
corporation,0.515
america(r,0.515
holding,0.515
pmc4074000,0.555
negativity,0.235
positivity,0.235
ajpregu.00360.2012,0.555
r958,0.555
christina,0.555
https://www.labcorp.com/tests/004226/testosterone-total,0.515
r951,0.555
comp,0.555
nurture,0.235
icd9,0.305
justify,0.305
cpt,0.305
necessity,0.305
regul,0.555
integr,0.555
c1995,0.5
tgrp,0.5
interpretive,0.5
juncos,0.555
physiol,0.555
mds,0.42
pas,0.415
reckelhoff,0.555
and/,0.34
rationalize,0.34
"treatment.7,27,31",0.34
calculation,0.34
luis,0.555
"md‡†,3",0.555
jane,0.555
ruisheng,0.555
jeuveau,0.345
microneedle,0.345
carbon,0.45
dioxide,0.45
liu,0.555
maranon,0.555
therapie,0.38
treatments.regenerative,0.36
rodrigo,0.555
https://www.mayomedicallaboratories.com/test-catalog/clinical+and+interpretive/8508,0.5
