node,stability,mode_cluster
pubmed.ncbi.nlm.nih.gov/27313122/.,0.48,6
dubious,0.255,0
nearby,0.365,0
ag030644,0.3725,5
u01,0.3725,5
diego,0.3725,5
minnesota,0.3725,5
genotypically,0.4475,0
phenotypically,0.4475,0
puget,0.3725,5
alabama,0.3725,5
birmingham,0.3725,5
feinberg,0.3725,5
brigham,0.3725,5
bilateral,0.4475,0
albert,0.3725,5
einstein,0.3725,5
caveat,0.3475,1
inherently,0.3975,1
disseminate,0.4125,1
handout,0.4125,1
comforting,0.3825,1
globe,0.3775,4
c.p.t,0.37,5
r.d,0.37,5
trainer,0.3675,5
blye,0.3975,1
elyse,0.3975,1
arthur,0.3575,3
patrick,0.3575,3
walsh,0.3575,3
alive,0.335,4
ritual,0.335,4
gathering,0.335,4
demotivate,0.6625,7
retired,0.6775,7
plate,0.6775,7
starch,0.6775,7
serving,0.6775,7
fulfill,0.3775,0
oomph,0.3775,0
dream,0.375,0
boyle,0.2425,3
lyon,0.245,3
reframe,0.59,7
tradeoff,0.58,7
1improvement,0.3775,4
2improved,0.3775,4
3improved,0.3775,4
4improved,0.3725,4
5increased,0.3725,4
authentically,0.3175,4
undermine,0.32,4
6increase,0.3725,4
sleuthing,0.32,4
dietician,0.3275,5
tandem,0.33,5
companion,0.32,4
thickness,0.3725,4
7improve,0.3725,4
8improve,0.3725,4
construct,0.405,1
sufficiency,0.4075,1
9increase,0.3625,4
excite,0.3325,1
joyful,0.3375,1
passionate,0.2775,1
j.a,0.255,3
mendonça,0.255,3
frustrated,0.4025,1
nagging,0.4,1
e2348692,0.255,3
pp.e2348692,0.255,3
almeida,0.255,3
ferreira,0.255,3
aboriginal,0.275,5
strait,0.275,5
islander,0.275,5
psychosis,0.48,7
schizophrenia,0.48,7
bulimia,0.48,7
khan,0.5225,6
lucia,0.5225,6
m.a,0.5225,6
preston,0.5225,6
s.e,0.5225,6
torre,0.275,5
socialize,0.3225,1
undiagnosed,0.3175,1
g.r,0.5225,6
bachelor,0.37,5
sheffield,0.37,5
fulfil,0.375,5
o’leary,0.5225,6
socialization,0.405,1
untrue,0.405,1
scholarship,0.375,5
elizabethtown,0.375,5
t.g,0.5225,6
travison,0.5225,6
accusation,0.4,1
steer,0.4,1
hon,0.375,5
dps,0.375,5
bsc,0.375,5
p.1512268,0.5225,6
frsa,0.375,5
mbcs,0.375,5
minstlm,0.375,5
mrsb,0.375,5
biotech,0.375,5
insensitive,0.45,0
insensitivity,0.45,0
40s-60s,0.365,4
60s-80s,0.365,4
imagen,0.375,5
drain,0.405,1
wrecked,0.405,1
organisation,0.275,5
accho,0.275,5
sectional,0.5225,6
treating,0.3775,4
wasting,0.3775,4
grubhub,0.405,1
helping,0.3525,5
netflix,0.405,1
cui,0.36,4
zhang,0.36,4
shen,0.36,4
gao,0.36,4
13a,0.3775,5
parkview,0.3775,5
toledo,0.2275,0
undergrad,0.2625,0
accredit,0.2625,0
ukas,0.2625,0
loyola,0.215,4
kadali,0.145,5
lalitha,0.145,5
chew,0.33,3
pouch,0.33,3
startedtestosterone,0.2625,0
reconstruction,0.225,4
haven,0.37,5
stanton.honig@yale.edu,0.37,5
orchard,0.37,5
cornerstone,0.6775,7
tweak,0.6775,7
stew,0.6775,7
juice,0.6775,7
auaer,0.23,9
ucf,0.23,9
seared,0.6775,7
embark,0.3425,3
gently,0.345,3
software,0.23,9
upload,0.23,9
bake,0.6775,7
precipitously,0.405,1
uniformly,0.405,1
infrastructure,0.23,9
garage,0.405,1
popup,0.405,1
blossom,0.405,1
counterproductive,0.6675,7
sabotage,0.665,7
compatible,0.6775,7
cook,0.6775,7
allergic,0.555,7
taste,0.555,7
licensable,0.43,6
promotional,0.285,3
kindly,0.33,3
omit,0.33,3
sacrifice,0.555,7
keith,0.455,6
kprice@auanet.org,0.4575,6
validity,0.465,6
eurycoma,0.455,7
longifolia,0.455,7
namesake,0.4525,7
caffeine,0.6725,7
pilz,0.6725,7
cup,0.6725,7
eurycomanone,0.455,7
ius,0.6725,7
allude,0.4525,7
asia,0.6375,7
originating,0.6375,7
confederacion,0.145,5
unabridged,0.145,5
americana,0.145,5
urologia,0.145,5
par,0.6575,7
superfood,0.6575,7
india,0.6575,7
ayurveda,0.6575,7
cau,0.145,5
algorithm,0.145,5
delicious,0.655,7
inversely,0.655,7
kurtz,0.515,6
landon,0.515,6
bruce,0.515,6
redmon,0.515,6
kelly,0.515,6
chiles,0.515,6
aphrodisiac,0.6775,7
symbol,0.6775,7
diameter,0.3375,4
millimeter,0.3375,4
cartoon,0.55,7
popeye,0.5475,7
character,0.55,7
gout,0.675,7
purine,0.675,7
sterilize,0.675,7
mercury,0.675,7
deborah,0.515,6
lightner,0.515,6
martin,0.515,6
miner,0.515,6
hassan,0.515,6
automated,0.4475,0
interplay,0.4475,0
preservative,0.675,7
dea,0.41,2
inspection,0.3975,2
murad,0.515,6
hello,0.405,1
microphone,0.405,1
presumably,0.6775,7
yolk,0.6775,7
predate,0.335,3
uneasy,0.3375,3
monosaturate,0.6575,7
virgin,0.66,7
moroccan,0.6775,7
elizabeth,0.515,6
heartburn,0.405,1
omeprazole,0.405,1
platz,0.515,6
scd,0.515,6
mph,0.515,6
surprisingly,0.405,1
marc,0.405,1
unc,0.405,1
lakshmi,0.515,6
bioactive,0.2675,0
load,0.2675,0
ramanathan,0.515,6
gimmicky,0.405,1
untested,0.405,1
staple,0.6575,7
sustainably,0.5225,7
boast,0.6575,7
lewis,0.515,6
executive,0.515,6
pressed,0.405,1
flank,0.365,4
vomiting,0.365,4
bimix,0.33,3
quadmix,0.33,3
hum,0.405,1
disintegrate,0.33,3
sauna,0.4625,0
tub,0.4625,0
whirlpool,0.4625,0
troche,0.3325,3
myers,0.29,4
writer,0.29,4
umiami,0.29,4
wyatt,0.29,4
nandrolone,0.33,3
stanozolol,0.33,3
oxandrolone,0.33,3
creativity,0.405,1
probe,0.405,1
goodrx,0.405,1
singlecare,0.405,1
backfire,0.395,1
candle,0.395,1
beer,0.38,7
laden,0.38,7
insult,0.3775,7
mid-20,0.38,7
johnson,0.365,5
respectful,0.365,5
devote,0.355,3
establishment,0.3625,3
dane,0.365,5
golf,0.3,3
grass,0.2975,3
hyperestrogenemia,0.325,2
recurrence,0.325,2
mucosal,0.33,3
mucous,0.33,3
broadcast,0.1775,0
pkg,0.1725,0
categorization,0.3525,0
conceptually,0.3525,0
adequacy,0.3375,3
categorizes,0.34,3
hse,0.33,3
ireland,0.33,3
homologous,0.45,0
lutenize,0.45,0
generalizable,0.3425,3
andr.12770,0.52,6
doi:10.1111,0.52,6
eaa,0.52,6
jc.2018,0.52,6
diem,0.2775,3
doi:10.3949,0.2775,3
ccjm.91a.23064,0.2775,3
doi:10.1056,0.2775,3
nejmoa2215025,0.2775,3
shumaker,0.2775,3
exclusively,0.325,4
formally,0.325,4
excipient,0.33,3
permeator,0.33,3
anosmia,0.4475,0
blindness,0.4475,0
masturbation,0.2325,5
receipt,0.2375,5
al.4,0.35,3
millar,0.35,3
speculation,0.235,5
feldman,0.3775,0
mid-,0.3775,0
late-30s,0.3775,0
nad,0.3825,0
slang,0.3675,0
finer,0.45,0
shorten,0.45,0
"+1,150%)—likely",0.235,5
terms—“secret,0.235,5
nexus,0.235,5
webinar,0.4,1
youtube,0.4,1
gso,0.33,3
shallower,0.33,3
kudo,0.405,1
pat,0.405,1
briefly,0.3525,4
capability,0.35,4
corticotropin,0.38,0
testosterone.9,0.38,0
plug,0.405,1
suspend,0.33,3
coefficient,0.3525,2
plague,0.3525,2
precision.10,0.3525,2
bathe,0.33,3
fortesta,0.33,3
soak,0.33,3
vogelxo,0.33,3
revitalize,0.1875,5
unverified,0.225,5
speculative,0.2275,5
jatenzo,0.33,3
tlando,0.33,3
lymph,0.33,3
graft,0.3325,3
grafting,0.3325,3
bless,0.405,1
overwhelmed,0.405,1
fda‐registered,0.1675,5
lengthen,0.3325,3
induration,0.375,0
palpable,0.375,0
stitch,0.3325,3
bent,0.3325,3
plication,0.3325,3
evenly,0.3275,5
uptick,0.32,5
harmonization,0.3475,3
pathologist,0.3475,3
appalachia,0.3275,5
sera,0.3475,3
chromatography,0.33,2
spectrometry,0.33,2
oklahoma,0.3275,5
idaho,0.3275,5
arkansa,0.3275,5
wyoming,0.3275,5
deformity,0.32,3
hourglass,0.32,3
curve,0.32,3
collagen,0.32,3
fasting,0.32,4
forecast,0.3675,1
arizona,0.2925,5
tennessee,0.2925,5
degeneration,0.4,7
hasten,0.3975,7
constrictive,0.33,3
cumbersome,0.33,3
altered,0.375,4
neglect,0.375,4
stature,0.375,4
accomplishment,0.3275,4
election,0.2875,5
presidential,0.2875,5
contradict,0.3375,3
pool,0.3375,3
d.c,0.2875,5
island,0.2875,5
distinction,0.445,0
similarity,0.445,0
rhode,0.2875,5
delaware,0.2875,5
backseat,0.405,1
jog,0.405,1
empire,0.405,1
war,0.405,1
toyota,0.405,1
camry,0.405,1
intertwine,0.25,5
leaning,0.25,5
talent,0.405,1
jointed,0.405,1
reignite,0.2475,5
customizable,0.26,3
application.228,0.33,3
enhancer,0.33,3
solubility,0.33,3
capogrosso,0.38,5
prof,0.38,5
sponsoring,0.52,6
yialamas,0.52,6
occlusive,0.33,3
washing,0.3325,3
fold.415,0.33,3
men,0.2975,3
survivorship,0.2925,3
therapies.417,0.33,3
dysmorphophobia,0.285,3
hypoactive,0.235,0
cervix,0.4125,8
sti,0.4125,8
transgender,0.415,8
phimosis,0.415,8
culturally,0.385,4
resonate,0.385,4
stimulant,0.415,8
t.h,0.38,5
otc,0.415,8
hours.424,0.3925,2
minutes.425,0.3775,2
ethnicity,0.345,3
household,0.345,3
income,0.345,3
rural,0.27,2
suburban,0.27,2
mirroring,0.3625,2
predefine,0.4025,1
symptomology,0.4,1
aneurysm,0.455,0
aortic,0.455,0
smack,0.405,1
yearlong,0.405,1
dab,0.405,1
desai,0.365,5
sethi,0.365,5
uhealth,0.365,5
bioequivalence,0.3225,3
values.428,0.3225,3
brca,0.3925,0
con’t,0.415,8
recording,0.405,1
noteworthy,0.3275,3
rhythm.181,0.3275,3
beef,0.6775,7
poultry,0.6775,7
skinless,0.6775,7
berry,0.6775,7
carrot,0.6775,7
broccoli,0.6775,7
maria,0.5225,6
navy,0.6775,7
lentil,0.6775,7
behavioural,0.275,4
cbt,0.275,4
hpv,0.405,8
monkeypox,0.405,8
chickpeas,0.6775,7
hays,0.3425,5
taylor,0.3425,5
oat,0.6775,7
pneumococcal,0.405,8
shingle,0.405,8
minn,0.3425,5
wheat,0.6775,7
influenza,0.405,8
tetanus,0.405,8
glucagon,0.44,0
peptide-1,0.44,0
cereal,0.6775,7
phytoestrogen,0.6775,7
wine,0.6775,7
robyn,0.15,5
zercher,0.15,5
fnp,0.15,5
pasta,0.6775,7
snack,0.6775,7
prep,0.285,8
prohylaxis,0.285,8
baton,0.3575,5
ext,0.3575,5
rouge,0.3575,5
slidell,0.3575,5
covington,0.3575,5
tammany,0.3575,5
parish,0.3575,5
northshore,0.3575,5
kenner,0.3575,5
shiny,0.4025,1
wipe,0.4025,1
alvin,0.5225,6
baptist,0.3575,5
hwy,0.3575,5
jefferson,0.3575,5
(aspen,0.33,3
phenylpropionate,0.33,3
isocaproate,0.33,3
(bayer,0.33,3
brother,0.405,1
tall,0.405,1
avanafil,0.3325,3
stendra,0.3325,3
preexposure,0.285,8
professionally,0.235,1
unlimited,0.235,1
https://www.hormone.org/diseases-and-conditions/low-testosteronetestosterone-associate,0.3975,6
https://www.hormone.org/your-health-and-hormones/glands-and-hormones-a-to-z/hormones/testosteronelow,0.3975,6
patients.181,0.33,3
vesicle,0.33,3
pain.431,0.33,3
https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6266690/,0.3725,6
adhesive,0.33,3
muco,0.33,3
incisor,0.33,3
daily.432,0.33,3
integrate,0.345,5
specialties,0.345,5
gulf,0.355,5
nonprofit,0.355,5
alan,0.3675,5
edith,0.3675,5
wolff,0.3675,5
chlamydia,0.405,8
gonorrhea,0.405,8
syphilis,0.405,8
hike,0.405,1
park,0.405,1
hop,0.405,1
italy,0.405,1
purgatorio,0.405,1
purgatory,0.405,1
restaurant,0.405,1
1gm,0.33,3
4ml,0.33,3
florence,0.405,1
dysmorphia/”bigorexia,0.405,8
hydration,0.33,3
levels.433,0.33,3
dysmorphic,0.405,8
felson,0.15,5
sabrina,0.15,5
audience,0.405,1
caverject,0.33,3
edex,0.33,3
phentolamine,0.33,3
oraverse,0.33,3
authentic,0.405,1
neapolitan,0.405,1
pizza,0.405,1
canine,0.33,3
hydrate,0.33,3
diving,0.405,1
underwater,0.405,1
photography,0.405,1
piggyback,0.405,1
semi,0.405,1
apart.432,0.33,3
downhill,0.405,1
hodis,0.5225,6
ski,0.405,1
racing,0.405,1
palpitation,0.3775,4
running,0.3775,4
restlessness,0.3775,4
nasopharyngitis,0.33,3
rhinorrhea,0.33,3
epistaxis,0.33,3
men.436,0.33,3
browser,0.4075,1
html5,0.4075,1
app,0.4075,1
bolt,0.3175,1
newly,0.2925,0
hyperestrogenism,0.4175,2
partially,0.4125,2
nada,0.405,1
zip,0.405,1
telling,0.405,1
qualitatively,0.365,4
quantitatively,0.3675,4
realistically,0.405,1
vague,0.405,1
concert,0.4,0
masse,0.435,0
fluoride,0.6675,7
laryngologist,0.655,7
storm,0.3875,0
subside,0.385,0
mini,0.38,1
fly,0.39,1
sheep,0.385,1
biomedical,0.3825,1
states).440,0.34,2
undenaconate,0.3625,2
discrimination,0.385,0
dnv,0.385,0
webmaster,0.3425,1
pediatrician,0.27,0
shrug,0.27,0
individualization,0.33,2
loading,0.33,2
goserelin,0.4475,0
triptorelin,0.4475,0
biosynthesis,0.4475,0
leuprolide,0.4475,0
metoclopramide,0.4475,0
psychoactive,0.4475,0
lake,0.31,1
strengthening,0.6775,7
unprocessed,0.6775,7
benzyl,0.335,2
microemboli,0.335,2
benzoate,0.335,2
component.438,0.335,2
boxed,0.335,2
mitigation,0.35,2
scheduling,0.25,1
multisystem,0.4475,0
prad,0.4475,0
cough,0.3275,2
duration.443,0.3275,2
conservatively,0.3275,2
hayes,0.5225,6
https://thescoperadio.com,0.405,1
https://www.facebook.com/whocaresmenshealth,0.405,1
https://whocaresmenshealth.com,0.405,1
patches.182,0.33,3
reformulate,0.33,3
crystalline,0.33,3
hypoplasia,0.4475,0
underdevelopment,0.4475,0
evan,0.37,5
hadley,0.37,5
atlanta,0.3675,0
profilesexplore,0.37,0
gupta,0.5225,6
hackett,0.5225,6
https://www.ncbi.nlm.nih.gov/books/nbk549843/,0.5225,6
hearnshaw,0.22,3
pp.238,0.225,3
ltd,0.5225,6
channel,0.33,3
ecchymose,0.3325,3
headline,0.5225,6
s.l,0.5225,6
huo,0.21,10
scialli,0.21,10
a.r,0.21,10
mcgarvey,0.21,10
hill,0.21,10
tügertimur,0.21,10
hogenmiller,0.21,10
hirsch,0.21,10
a.i,0.21,10
fugh,0.21,10
berman,0.21,10
pp.42,0.5225,6
gurney,0.5225,6
enantate,0.33,3
inflate,0.33,3
rod,0.33,3
semirigid,0.33,3
glenn,0.5225,6
virormone,0.33,3
(nordic,0.33,3
bendable,0.33,3
plos,0.2025,10
p.e0162480,0.2,10
superficial,0.33,3
skin.449,0.33,3
merit,0.405,1
recheck,0.405,1
guasti,0.5225,6
parede,0.5225,6
juan,0.5225,6
aquino,0.5225,6
fernández,0.5225,6
pp.557,0.5225,6
ventura,0.5225,6
verboon,0.5225,6
dewitte,0.5225,6
jacobs,0.5225,6
thewissen,0.5225,6
coagulant,0.3725,2
hematoma,0.37,2
lankveld,0.5225,6
shalender,0.5225,6
https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1476110/,0.5225,6
polycthemia,0.3725,2
neuroimage,0.525,6
rajfer,0.525,6
pp.855,0.525,6
magnetic,0.525,6
moserthroughout,0.1975,5
sara,0.1975,5
resonance,0.525,6
p=0.03).220,0.36,3
burnod,0.525,6
issac,0.525,6
paradi,0.525,6
bittoun,0.525,6
fare,0.1975,5
glutron,0.525,6
pélégrini,0.525,6
moura,0.525,6
stoléru,0.525,6
"(ferring),gel",0.33,3
mg/5,0.33,3
jcem,0.5225,6
discrete,0.2775,2
packaging,0.275,2
https://www.ncbi.nlm.nih.gov/books/nbk513278/,0.525,6
butterfly,0.4475,0
gabrielson,0.4475,0
"events,363",0.3425,3
"risk,233",0.3425,3
risk.373,0.3425,3
"analysis,372",0.3425,3
testogel,0.33,3
"(besin),gel",0.33,3
durland,0.4575,6
zito,0.4675,6
panchatsharam,0.45,6
pp.349,0.4475,6
eric,0.375,0
laborde,0.375,0
conferencing,0.385,1
overstate,0.395,1
irreversible,0.365,0
underutilise,0.3475,0
abhinav,0.2375,5
prevail,0.235,5
vol,0.45,6
handbook,0.335,5
tostran,0.33,3
"(prostrakan),gel",0.33,3
circulating,0.335,2
hospitalization,0.3375,2
fruzzetti,0.3225,4
p.100426,0.3275,4
hazlett,0.3275,4
kadono,0.525,6
mizokami,0.525,6
namiki,0.525,6
prod,0.4475,0
trh,0.4475,0
nohara,0.525,6
izumi,0.525,6
hospitalize,0.35,5
remained,0.35,5
iijima,0.525,6
kawaguchi,0.525,6
shigehara,0.525,6
barne,0.2375,5
jewish,0.2375,5
kato,0.525,6
https://www.ncbi.nlm.nih.gov/books/nbk534827/,0.525,6
er.2017,0.5125,6
lesson,0.5125,6
https://www.urologyhealth.org/urologic-conditions/low-testosterone,0.5125,6
caban,0.525,6
factory,0.3925,1
worker,0.3925,1
p.98,0.525,6
dhindsa,0.37,5
sicker,0.37,5
autonomy,0.335,2
prescriber,0.35,2
breehl,0.525,6
pathophysiology,0.5225,6
population‐base,0.4675,6
pp.317,0.51,6
chung,0.51,6
multidose,0.33,3
dispenser,0.33,3
dennerstein,0.375,4
maggi,0.375,4
maturita,0.375,4
pp.46,0.375,4
haye,0.375,4
doi:10.1016,0.425,6
j.urology.2016.12.066,0.425,6
synder,0.425,6
calculated,0.3425,3
p=0.02,0.34,3
erratum,0.34,3
fertile,0.3025,3
withdrawal,0.325,2
rastrelli,0.375,4
dataset,0.34,3
gilbert,0.515,6
scrotal,0.33,3
askmayoexpert,0.515,6
extraneous,0.3025,3
wax,0.3025,3
hashimoto,0.4475,0
thyroiditis,0.4475,0
finkle,0.34,3
truven,0.3425,3
"n=55,593",0.3425,3
albeit,0.325,4
prn,0.33,4
summarise,0.33,4
flagging,0.325,4
convincing,0.405,1
huh,0.405,1
disappointed,0.345,1
unwaveringly,0.345,1
inordinate,0.2525,4
unconscious,0.2975,4
abbreviate,0.3425,3
striking,0.3425,3
religion,0.255,4
stereotype,0.2525,4
affirm,0.405,1
girlfriend,0.405,1
massively,0.255,4
endothelial,0.3425,3
chafing,0.405,1
marathon,0.405,1
aroused,0.3325,0
habituation,0.3225,0
stabilizer,0.3425,3
cardioprotectant,0.3425,3
mate,0.2825,0
insignificant.366,0.3425,3
"n=1,773",0.3425,3
"n=1,261",0.3425,3
biorepository,0.3725,5
ict,0.3725,5
or=1.54,0.3425,3
copulate,0.385,4
novo,0.3875,4
renewal,0.385,4
tremor,0.3775,4
warm,0.3775,4
stratification,0.345,3
n=13,0.3425,3
animal,0.385,4
or=0.89,0.34,3
.in,0.39,4
homogenous,0.3425,3
or=2.06,0.3425,3
favor,0.3425,3
unpublished,0.3425,3
edwards,0.4125,0
hudson,0.4125,0
garbage,0.405,1
hardly,0.405,1
"muraleedharan,233",0.345,3
shore,0.345,3
baillargeon373,0.345,3
"deaths/1,000",0.3425,2
p<0.0001,0.34,2
muraleedharan,0.3425,3
stratify,0.3425,3
n=581,0.3425,3
intricacy,0.305,4
supraspinal,0.3025,4
n=343,0.3425,3
n=238,0.3425,3
hr=2.02,0.3525,2
p<0.01,0.345,2
compounded,0.33,3
tds,0.33,3
somatosensory,0.3025,4
unbelievably,0.3025,4
baillargeon,0.3425,3
concede,0.335,3
hr=0.84,0.3425,3
medicare,0.3425,3
beneficiary,0.3425,3
descent,0.4625,0
vocal,0.46,0
confounder,0.3425,2
naïve,0.3425,2
concurrent,0.3425,2
creamy,0.33,3
refrigerate,0.33,3
nighter,0.405,1
understate,0.405,1
friday,0.405,1
bayer,0.36,5
marius,0.36,5
https://www.ncbi.nlm.nih.gov/pubmed/25384570,0.525,6
invest,0.525,6
hypoallergenic,0.33,3
moisture,0.33,3
italian,0.525,6
proposal,0.34,3
provisional,0.34,3
scentless,0.33,3
empt,0.34,3
absorbent,0.3275,3
moisturize,0.3275,3
disperse,0.33,3
emulsion,0.33,3
aorta,0.3925,0
atherosclerotic,0.3975,0
variant,0.3825,0
https://www.ncbi.nlm.nih.gov/pubmed/25523084,0.525,6
https://www.ncbi.nlm.nih.gov/pubmed/31496147,0.525,6
pharmacotherapy,0.525,6
mens,0.525,6
bandage,0.33,3
gauze,0.33,3
finish,0.33,3
2838ur,0.355,1
https://www.ncbi.nlm.nih.gov/pubmed/23482592,0.525,6
2021;15(5):e234,0.34,3
http://dx.doi.org/10.5489/cuaj.7252,0.34,3
dislike,0.33,3
peel,0.33,3
assoc,0.34,3
https://www.ncbi.nlm.nih.gov/pubmed/15638872,0.5075,6
oxf,0.5075,6
revert,0.51,6
leaf,0.36,5
proctor,0.36,5
locations13,0.3675,5
locationswe,0.365,5
sawgrass,0.3675,5
https://www.ncbi.nlm.nih.gov/pubmed/18270261,0.52,6
nonbound,0.5175,6
b.a,0.52,6
mohr,0.52,6
differentially,0.36,0
https://www.ncbi.nlm.nih.gov/pubmed/30862651,0.4375,0
registry,0.4325,0
urotronic,0.36,5
nobel,0.255,5
synthesize,0.1975,5
bettoocchi,0.3675,3
pp.3,0.365,3
yassin,0.365,3
carvalho,0.3675,3
eau;2025,0.365,3
enhancement,0.35,3
reluctance,0.36,3
scheme,0.3675,3
condition.3,0.39,3
brockport,0.37,5
canandaigua,0.37,5
clara,0.37,5
barton,0.37,5
finger,0.33,3
spoon,0.33,3
noyes,0.37,5
cmaj.5,0.365,3
perpetual,0.375,3
dansville,0.37,5
east,0.37,5
geneseo,0.37,5
comorbidity,0.365,6
mmas,0.345,6
bioactivity,0.45,0
blockade,0.45,0
pointe,0.37,5
chris,0.375,1
inch,0.39,1
disinfect,0.33,3
elbow,0.33,3
mid-30s,0.3775,3
virulence,0.3525,3
biochemistry,0.33,3
interprovincial,0.3425,3
seneca,0.37,5
wellsville,0.37,5
hornell,0.37,5
aurora,0.385,5
finite,0.385,5
lattimore,0.37,5
anschutz,0.385,5
colorado,0.385,5
g-100,0.37,5
emeritus,0.38,5
magazine,0.405,1
schwarzenegger,0.405,1
highland,0.37,5
equate,0.3625,1
pop,0.335,1
foreign,0.4475,0
particle,0.4475,0
ethan,0.36,5
filter,0.3225,5
ambulatory,0.37,5
launch,0.3125,1
accumulate,0.455,0
vlcfa,0.455,0
md2,0.36,5
mohit,0.36,5
md3,0.36,5
md1,0.36,5
md4,0.36,5
jay,0.36,5
yonah,0.36,5
elmwood,0.37,5
md5,0.36,5
flawed,0.3275,1
methodologically,0.3275,1
grantmyre,0.36,5
md6,0.36,5
premal,0.36,5
profoundly,0.2825,0
trivialise,0.28,0
phlebotomist,0.33,3
md7,0.36,5
richard,0.36,5
bebb,0.36,5
md8,0.36,5
fitzpatrick,0.36,5
md9,0.36,5
jeffrey,0.36,5
campbell,0.36,5
serge,0.36,5
abraham,0.36,5
md10,0.36,5
astella,0.36,5
msacl.org,0.36,5
md11,0.36,5
md12,0.36,5
sciex,0.36,5
dictionary,0.365,4
oxford,0.365,4
dian,0.36,5
synergistically,0.365,4
180pmol,0.3525,3
issm,0.35,3
evidence).10,0.34,3
framework,0.3375,3
working,0.3375,3
content.5,0.37,3
summative,0.37,3
silva,0.5225,6
specialised,0.5225,6
n.l,0.5225,6
papanikolaou,0.5225,6
metuchen,0.36,5
grossmann,0.5225,6
antonio,0.5225,6
aplastic,0.4475,0
myelodysplastic,0.4475,0
quinton,0.5225,6
b.d,0.5225,6
pathogenesis,0.5225,6
clarus,0.36,5
modulate,0.3775,4
neurochemical,0.3775,4
visuospatial,0.3775,4
lancet,0.5225,6
underscore,0.35,3
undiagnose,0.3525,3
tasked,0.355,3
update.11,0.355,3
pp.761,0.5225,6
spaziani,0.5225,6
carlomagno,0.5225,6
tarantino,0.5225,6
angelini,0.5225,6
vincenzi,0.5225,6
gianfrilli,0.5225,6
collate,0.3625,3
submission,0.3625,3
theme,0.3625,3
propose,0.3625,3
finalize,0.36,3
karkowsky,0.36,5
labs,0.36,5
felix,0.36,5
bovine,0.245,5
equine,0.245,3
mouse,0.255,5
rabbit,0.2575,5
anderson,0.5225,6
p.1184530,0.5225,6
r.a,0.5225,6
llahana,0.5225,6
barth,0.5225,6
j.h,0.5225,6
mackenzie,0.5225,6
wilke,0.5225,6
sooriakumaran,0.5225,6
investor,0.36,5
mhb,0.36,5
tomlinson,0.5225,6
gonadatrophin,0.41,0
substandard,0.32,0
barber,0.5175,6
pp.200,0.5175,6
t.m,0.5175,6
kyrou,0.5175,6
kaltsas,0.5175,6
insist,0.385,0
tab,0.3875,0
randeva,0.5175,6
grossman,0.5175,6
a.b,0.5175,6
h.s,0.5175,6
weickert,0.5175,6
m.o,0.5175,6
nebraska,0.375,5
physic,0.3725,5
lincoln,0.375,5
crystallography,0.31,9
inspect,0.31,9
unbelievable,0.31,9
p.8217,0.5175,6
pairing,0.31,9
crystal,0.31,9
beiza,0.305,3
kristen,0.305,3
achievable,0.2825,1
energize,0.2575,1
awful,0.405,1
ride,0.405,1
